["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9525956146052631e+14 9.4075127910386502e-01 7.4185324229494247e+00
1.9591700106140350e+14 9.4319680708217934e-01 8.0966822459581937e+00
1.9657444066228069e+14 9.4548039147156859e-01 8.7754993473760479e+00
1.9723188026315788e+14 9.4760647921782915e-01 9.4549416317021286e+00
1.9788931986403506e+14 9.4958155805502564e-01 1.0134968365165181e+01
1.9854675946491228e+14 9.5141401917733059e-01 1.0815540404885281e+01
1.9920419906578947e+14 9.5311286931072792e-01 1.1496620320466954e+01
1.9986163866666666e+14 9.5468588629626272e-01 1.2178172101660826e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.8737028625000000e+14 1.0196529454735478e-03 2.5736201839759199e+00
1.8802772585087719e+14 1.0345043316324772e-03 3.2410454546210392e+00
1.8868516545175438e+14 1.0720130353028298e-03 3.8863371380524989e+00
1.8934260505263156e+14 1.1173160257072360e-03 4.5073279820884906e+00
1.9000004465350878e+14 1.1585349878072159e-03 5.1114362697192330e+00
1.9065748425438597e+14 1.1904178857494465e-03 5.7095319643653095e+00
1.9131492385526316e+14 1.2147097922983413e-03 6.3115463438584669e+00
1.9197236345614034e+14 1.2385466016125192e-03 6.9236627934056809e+00
1.9262980305701753e+14 1.2711885876608854e-03 7.5465095587444626e+00
1.9328724265789472e+14 1.3194578223865100e-03 8.1752767102802686e+00
1.9394468225877194e+14 1.3836053496458613e-03 8.8027870097522047e+00
1.9460212185964912e+14 1.4561105060315600e-03 9.4240539951565356e+00
1.9525956146052631e+14 1.5242900556268887e-03 1.0039173512748103e+01
1.9591700106140350e+14 1.5752689376151696e-03 1.0653392333654462e+01
1.9657444066228069e+14 1.6014136948044333e-03 1.1275608720061006e+01
1.9723188026315788e+14 1.6051083231345843e-03 1.1916302793222862e+01
1.9788931986403506e+14 1.6017258647907670e-03 1.2584180879912914e+01
1.9854675946491228e+14 1.6180066145360182e-03 1.3280218336012165e+01
1.9920419906578947e+14 1.6818469976108562e-03 1.3991644430103136e+01
1.9986163866666666e+14 1.8053169574013400e-03 1.4695052289694370e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.3199226098235993e-01 -1.3839763580857636e+00
1.8802772585087719e+14 4.2363753788091835e-01 -7.3368776721758333e-01
1.8868516545175438e+14 4.1535470925806534e-01 -8.2133785570239828e-02
1.8934260505263156e+14 4.0714657407417693e-01 5.7060375271736563e-01
1.9000004465350878e+14 3.9901367986996084e-01 1.2244527686862570e+00
1.9065748425438597e+14 3.9095632298287575e-01 1.8793511951155113e+00
1.9131492385526316e+14 3.8297585311223098e-01 2.5352455327737315e+00
1.9197236345614034e+14 3.7507519079372242e-01 3.1920883198403973e+00
1.9262980305701753e+14 3.6725866892454828e-01 3.8498355029138196e+00
1.9328724265789472e+14 3.5953142903635593e-01 4.5084446280630335e+00
1.9394468225877194e+14 3.5189866756506916e-01 5.1678742882588899e+00
1.9460212185964912e+14 3.4436504668488144e-01 5.8280846386054570e+00
1.9525956146052631e+14 3.3693453063328666e-01 6.4890383518107777e+00
1.9591700106140350e+14 3.2961075029487441e-01 7.1507013117865741e+00
1.9657444066228069e+14 3.2239775566762335e-01 7.8130425688125609e+00
1.9723188026315788e+14 3.1530078223739810e-01 8.4760333853391359e+00
1.9788931986403506e+14 3.0832656497500510e-01 9.1396454065629236e+00
1.9854675946491228e+14 3.0148286911875155e-01 9.8038480991492900e+00
1.9920419906578947e+14 2.9477723989562038e-01 1.0468605778064411e+01
1.9986163866666666e+14 2.8821535249112490e-01 1.1133874916683833e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.9669392425599259e-01 -6.4893668026460583e-01
1.8802772585087719e+14 9.0156724911030761e-01 1.7124488861896957e-02
1.8868516545175438e+14 9.0619629985085837e-01 6.8453052521920399e-01
1.8934260505263156e+14 9.1058910434836493e-01 1.3532113169748963e+00
1.9000004465350878e+14 9.1475333135552872e-01 2.0231006898539432e+00
1.9065748425438597e+14 9.1869644040096932e-01 2.6941358133602566e+00
1.9131492385526316e+14 9.2242584164259711e-01 3.3662560648253961e+00
1.9197236345614034e+14 9.2594912651177030e-01 4.0394020328813776e+00
1.9262980305701753e+14 9.2927420545568440e-01 4.7135152214187492e+00
1.9328724265789472e+14 9.3240910660702403e-01 5.3885385532753896e+00
1.9394468225877194e+14 9.3536137242261153e-01 6.0644172732833361e+00
1.9460212185964912e+14 9.3813733271446154e-01 6.7410996424377059e+00
1.9525956146052631e+14 9.4074176174221869e-01 7.4185370226474951e+00
1.9591700106140350e+14 9.4317831626844251e-01 8.0966834063414197e+00
1.9657444066228069e+14 9.4545070540518894e-01 8.7754948097951964e+00
1.9723188026315788e+14 9.4756402690220110e-01 9.4549289629664095e+00
1.9788931986403506e+14 9.4952547695790557e-01 1.0134945399202842e+01
1.9854675946491228e+14 9.5134390176336925e-01 1.0815505646356590e+01
1.9920419906578947e+14 9.5302829156292979e-01 1.1496573080528659e+01
1.9986163866666666e+14 9.5458594363110050e-01 1.2178112267128631e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.5539236835681913e-03 2.9950082396323201e+00
1.8802772585087719e+14 4.2833095742450594e-03 3.0247984912671684e+00
1.8868516545175438e+14 3.9121381222853961e-03 3.0974846807362981e+00
1.8934260505263156e+14 3.3803836240599880e-03 3.2072806122356887e+00
1.9000004465350878e+14 2.6814601022853977e-03 3.3438912761068078e+00
1.9065748425438597e+14 1.8615020915845881e-03 3.4910917510610711e+00
1.9131492385526316e+14 1.0101038036171614e-03 3.6054841713469243e+00
1.9197236345614034e+14 2.7530103402717044e-04 3.2811760983569975e+00
1.9262980305701753e+14 4.3403581245949713e-04 1.5028061974397824e+00
1.9328724265789472e+14 7.4579636312199706e-04 1.5374203247755600e+00
1.9394468225877194e+14 7.4810991757176732e-04 1.7359281236481829e+00
1.9460212185964912e+14 4.2890918754689159e-04 1.9923678344289246e+00
1.9525956146052631e+14 1.6560617426512314e-04 -1.1388439150016934e+00
1.9591700106140350e+14 9.2953605008375205e-04 -7.5894081036467242e-01
1.9657444066228069e+14 1.7411667633274390e-03 -5.0435392407312762e-01
1.9723188026315788e+14 2.4611294962010688e-03 -2.6715458872528813e-01
1.9788931986403506e+14 2.9669547826249275e-03 -4.8773543487516634e-02
1.9854675946491228e+14 3.1771285965207078e-03 1.3950534131758793e-01
1.9920419906578947e+14 3.0771106981020311e-03 2.7511891810689526e-01
1.9986163866666666e+14 2.7524916494718736e-03 3.1565529493050531e-01
("port 2","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.3199485883447708e-01 1.7574757564047592e+00
1.8802772585087719e+14 4.2363990507882193e-01 2.4077626807768739e+00
1.8868516545175438e+14 4.1535683926122069e-01 3.0593150954455748e+00
1.8934260505263156e+14 4.0714847590336001e-01 3.7120511195780388e+00
1.9000004465350878e+14 3.9901537782261004e-01 4.3658986368121946e+00
1.9065748425438597e+14 3.9095785339730027e-01 5.0207955532935555e+00
1.9131492385526316e+14 3.8297725923620241e-01 5.6766883540150825e+00
1.9197236345614034e+14 3.7507651664450820e-01 6.3335295710620994e+00
1.9262980305701753e+14 3.6725995303804371e-01 6.9912751518652430e+00
1.9328724265789472e+14 3.5953269917879743e-01 7.6498826460874607e+00
1.9394468225877194e+14 3.5189993753385462e-01 8.3093106486548187e+00
1.9460212185964912e+14 3.4436631597326806e-01 8.9695193121900374e+00
1.9525956146052631e+14 3.3693578695997206e-01 9.6304713027662334e+00
1.9591700106140350e+14 3.2961197410648491e-01 1.0292132496985170e+01
1.9657444066228069e+14 3.2239892515194313e-01 1.0954471942307022e+01
1.9723188026315788e+14 3.1530187743193500e-01 1.1617460907305327e+01
1.9788931986403506e+14 3.0832757016822609e-01 1.2281071053996184e+01
1.9854675946491228e+14 3.0148377355022854e-01 1.2945271875098046e+01
1.9920419906578947e+14 2.9477803731386337e-01 1.3610027717245504e+01
1.9986163866666666e+14 2.8821604018010560e-01 1.4275295087060179e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.8737028625000000e+14 9.7759078413580877e-04 -6.0520530910826353e-01
1.8802772585087719e+14 9.9381341553829786e-04 6.4483688739464820e-02
1.8868516545175438e+14 1.0334582642494976e-03 7.1177647494409590e-01
1.8934260505263156e+14 1.0816863291375669e-03 1.3340502088916668e+00
1.9000004465350878e+14 1.1263515147872268e-03 1.9388621756226911e+00
1.9065748425438597e+14 1.1618141781221431e-03 2.5374275196932037e+00
1.9131492385526316e+14 1.1894433614369805e-03 3.1400085098459947e+00
1.9197236345614034e+14 1.2161329335830385e-03 3.7530367257914872e+00
1.9262980305701753e+14 1.2511224757241857e-03 4.3772607311472171e+00
1.9328724265789472e+14 1.3014208383367344e-03 5.0078136222180429e+00
1.9394468225877194e+14 1.3675369845985498e-03 5.6373032789695392e+00
1.9460212185964912e+14 1.4421104740259061e-03 6.2604898087827836e+00
1.9525956146052631e+14 1.5124381897554688e-03 6.8772951912955724e+00
1.9591700106140350e+14 1.5654686259277016e-03 7.4929030317058798e+00
1.9657444066228069e+14 1.5933092085278799e-03 8.1162363963740027e+00
1.9723188026315788e+14 1.5980885996837808e-03 8.7578757027721306e+00
1.9788931986403506e+14 1.5950337872130012e-03 9.4267142369305308e+00
1.9854675946491228e+14 1.6109815422055188e-03 1.0123970082701700e+01
1.9920419906578947e+14 1.6742364433757506e-03 1.0836994468591783e+01
1.9986163866666666e+14 1.7974044498925365e-03 1.1542192132469104e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.8737028625000000e+14 1.0132240724151321e-03 2.5737652679159488e+00
1.8802772585087719e+14 1.0427788248243653e-03 3.2339036135861567e+00
1.8868516545175438e+14 1.0922633083595603e-03 3.8707646030205818e+00
1.8934260505263156e+14 1.1458990844732896e-03 4.4846623956761382e+00
1.9000004465350878e+14 1.1914174309958574e-03 5.0843387319739550e+00
1.9065748425438597e+14 1.2234356985314878e-03 5.6810698859812314e+00
1.9131492385526316e+14 1.2439777508592952e-03 6.2848546451546525e+00
1.9197236345614034e+14 1.2611019866153011e-03 6.9018495567704052e+00
1.9262980305701753e+14 1.2856036190810652e-03 7.5323726317063819e+00
1.9328724265789472e+14 1.3259834328335513e-03 8.1706596139335481e+00
1.9394468225877194e+14 1.3836335413617655e-03 8.8079853967212163e+00
1.9460212185964912e+14 1.4513284180997042e-03 9.4378671643437251e+00
1.9525956146052631e+14 1.5161644499466376e-03 1.0059539952339387e+01
1.9591700106140350e+14 1.5650781454577198e-03 1.0678032691008902e+01
1.9657444066228069e+14 1.5905225942017401e-03 1.1302312090567328e+01
1.9723188026315788e+14 1.5950371004343571e-03 1.1942856999835081e+01
1.9788931986403506e+14 1.5936953706891487e-03 1.2608140488305505e+01
1.9854675946491228e+14 1.6119759123850383e-03 1.3298924787977233e+01
1.9920419906578947e+14 1.6757353685906554e-03 1.4002988668824081e+01
1.9986163866666666e+14 1.7955383359010873e-03 1.4698530034467993e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.3105426891157261e-01 1.7572864400029773e+00
1.8802772585087719e+14 4.2270423568809096e-01 2.4075928759031933e+00
1.8868516545175438e+14 4.1442715704544303e-01 3.0591708499926815e+00
1.8934260505263156e+14 4.0622701814607021e-01 3.7119368377287545e+00
1.9000004465350878e+14 3.9810548916091143e-01 4.3658184237740594e+00
1.9065748425438597e+14 3.9006355000527893e-01 5.0207539460652981e+00
1.9131492385526316e+14 3.8210272364389919e-01 5.6766900766097494e+00
1.9197236345614034e+14 3.7422576834378940e-01 6.3335785531234885e+00
1.9262980305701753e+14 3.6643675739468023e-01 6.9913734162486456e+00
1.9328724265789472e+14 3.5874060280909659e-01 7.6500296417311553e+00
1.9394468225877194e+14 3.5114225521248904e-01 8.3095032755405782e+00
1.9460212185964912e+14 3.4364595789163249e-01 8.9697525049593825e+00
1.9525956146052631e+14 3.3625494139998052e-01 9.6307388281798385e+00
1.9591700106140350e+14 3.2897176213929968e-01 1.0292427637626103e+01
1.9657444066228069e+14 3.2179917046149908e-01 1.0954787889990644e+01
1.9723188026315788e+14 3.1474109315965881e-01 1.1617790838828984e+01
1.9788931986403506e+14 3.0780319633026776e-01 1.2281407948468726e+01
1.9854675946491228e+14 3.0099263544858129e-01 1.2945608193048976e+01
1.9920419906578947e+14 2.9431694077399750e-01 1.3610355151136600e+01
1.9986163866666666e+14 2.8778236281228115e-01 1.4275604682414379e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.6612613753582271e-03 3.0784115909427836e+00
1.8802772585087719e+14 8.3700871020831336e-03 3.3629204275920848e+00
1.8868516545175438e+14 7.5126237872994136e-03 3.6939787912165709e+00
1.8934260505263156e+14 6.2717396490310105e-03 4.0777240057169148e+00
1.9000004465350878e+14 4.9012951982499052e-03 4.5314097319357654e+00
1.9065748425438597e+14 3.6783137074408137e-03 5.0784579743928919e+00
1.9131492385526316e+14 2.8055133222349982e-03 5.7150484926659928e+00
1.9197236345614034e+14 2.2452017145643240e-03 6.3593513741174093e+00
1.9262980305701753e+14 1.7108991951210672e-03 6.9058511956717092e+00
1.9328724265789472e+14 9.4305029850614197e-04 7.2645764170215736e+00
1.9394468225877194e+14 3.4091243940884901e-04 5.7075818428806482e+00
1.9460212185964912e+14 1.6377191069118782e-03 5.3608434264765421e+00
1.9525956146052631e+14 3.1593832300629535e-03 5.6290397010147206e+00
1.9591700106140350e+14 4.6358921681921485e-03 5.9295583168426527e+00
1.9657444066228069e+14 5.8758517363219562e-03 6.2314421576269394e+00
1.9723188026315788e+14 6.7142619037925304e-03 6.5306023734701579e+00
1.9788931986403506e+14 7.0260562480494969e-03 6.8277952506196566e+00
1.9854675946491228e+14 6.7358467604805381e-03 7.1255917987044448e+00
1.9920419906578947e+14 5.8243766711653135e-03 7.4286852361061761e+00
1.9986163866666666e+14 4.3339972853445093e-03 7.7481453298375182e+00
("port 3","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.7764713567608144e-01 -2.1108303073912231e+00
1.8802772585087719e+14 8.8400350314254983e-01 -1.4774801769975130e+00
1.8868516545175438e+14 8.8997401940511744e-01 -8.4287043166264886e-01
1.8934260505263156e+14 8.9557103309551811e-01 -2.0705090897128098e-01
1.9000004465350878e+14 9.0081029569597437e-01 4.2992910054023775e-01
1.9065748425438597e+14 9.0571053765885334e-01 1.0680192237309678e+00
1.9131492385526316e+14 9.1029201288495865e-01 1.7071673633344289e+00
1.9197236345614034e+14 9.1457478548564819e-01 2.3473200388701621e+00
1.9262980305701753e+14 9.1857746990248856e-01 2.9884235065454767e+00
1.9328724265789472e+14 9.2231675150376791e-01 3.6304252368598462e+00
1.9394468225877194e+14 9.2580758973372845e-01 4.2732751591364178e+00
1.9460212185964912e+14 9.2906377598244239e-01 4.9169261164547828e+00
1.9525956146052631e+14 9.3209853053036573e-01 5.5613333108828416e+00
1.9591700106140350e+14 9.3492494671720550e-01 6.2064530619320291e+00
1.9657444066228069e+14 9.3755616398623032e-01 6.8522416590799144e+00
1.9723188026315788e+14 9.4000513622295656e-01 7.4986551397776902e+00
1.9788931986403506e+14 9.4228387576333383e-01 8.1456503491845194e+00
1.9854675946491228e+14 9.4440224856907429e-01 8.7931868553747368e+00
1.9920419906578947e+14 9.4636677711155648e-01 9.4412286704164838e+00
1.9986163866666666e+14 9.4818024969634829e-01 1.0089744694673595e+01
("port 4","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.3102703018722621e-01 -1.3842501733159651e+00
1.8802772585087719e+14 4.2268302272254576e-01 -7.3393065867206964e-01
1.8868516545175438e+14 4.1441079030277389e-01 -8.2339502899657802e-02
1.8934260505263156e+14 4.0621457337164973e-01 5.7043962418740268e-01
1.9000004465350878e+14 3.9809622566288766e-01 1.2243339923258354e+00
1.9065748425438597e+14 3.9005683575261069e-01 1.8792815132435226e+00
1.9131492385526316e+14 3.8209798353020136e-01 2.5352284197772694e+00
1.9197236345614034e+14 3.7422245796581738e-01 3.1921261175965889e+00
1.9262980305701753e+14 3.6643434450405715e-01 3.8499285077056196e+00
1.9328724265789472e+14 3.5873853814064899e-01 4.5085906051763853e+00
1.9394468225877194e+14 3.5113993376974767e-01 5.1680685430936144e+00
1.9460212185964912e+14 3.4364269442285084e-01 5.8283204543547766e+00
1.9525956146052631e+14 3.3624998883550267e-01 6.4893075136453344e+00
1.9591700106140350e+14 3.2896438058363858e-01 7.1509945652901035e+00
1.9657444066228069e+14 3.2178871895722366e-01 7.8133500315945028e+00
1.9723188026315788e+14 3.1472709253052217e-01 8.4763449765416041e+00
1.9788931986403506e+14 3.0778532006726755e-01 9.1399512637157194e+00
1.9854675946491228e+14 3.0097062659963025e-01 9.8041388556863467e+00
1.9920419906578947e+14 2.9429050198350321e-01 1.0468872630742984e+01
1.9986163866666666e+14 2.8775109077576366e-01 1.1134109620507166e+01
("port 4","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.8737028625000000e+14 9.6930894262278397e-04 -6.0168842808441414e-01
1.8802772585087719e+14 1.0019556316192826e-03 6.1317049313612280e-02
1.8868516545175438e+14 1.0551706672119014e-03 6.9968283403650489e-01
1.8934260505263156e+14 1.1127632637267181e-03 1.3138385702709767e+00
1.9000004465350878e+14 1.1620571933110653e-03 1.9131294484400627e+00
1.9065748425438597e+14 1.1973572585176769e-03 2.5094220788800019e+00
1.9131492385526316e+14 1.2205222222075349e-03 3.1131605238945235e+00
1.9197236345614034e+14 1.2396573997364546e-03 3.7307833029613722e+00
1.9262980305701753e+14 1.2658280296352950e-03 4.3626614879321419e+00
1.9328724265789472e+14 1.3078993347295580e-03 5.0027897480131900e+00
1.9394468225877194e+14 1.3674852650026918e-03 5.6420136120496540e+00
1.9460212185964912e+14 1.4372832648381587e-03 6.2735014832542335e+00
1.9525956146052631e+14 1.5040658058763021e-03 6.8963965281031898e+00
1.9591700106140350e+14 1.5543797366059299e-03 7.5158671196547804e+00
1.9657444066228069e+14 1.5804128802083455e-03 8.1411572899866442e+00
1.9723188026315788e+14 1.5847324649040852e-03 8.7830969073402212e+00
1.9788931986403506e+14 1.5828735964468917e-03 9.4504846739420696e+00
1.9854675946491228e+14 1.6011984211809465e-03 1.0144109867443669e+01
1.9920419906578947e+14 1.6664490240839904e-03 1.0851159804152543e+01
1.9986163866666666e+14 1.7893479413735320e-03 1.1548889261918745e+01
("port 4","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.7764714485277273e-01 -2.1108306040580036e+00
1.8802772585087719e+14 8.8400360270181022e-01 -1.4774802761673524e+00
1.8868516545175438e+14 8.8997414424239418e-01 -8.4287033909766962e-01
1.8934260505263156e+14 8.9557113107852993e-01 -2.0705066103432185e-01
1.9000004465350878e+14 9.0081033518605735e-01 4.2992945090718659e-01
1.9065748425438597e+14 9.0571050954300403e-01 1.0680196207283292e+00
1.9131492385526316e+14 9.1029192799155856e-01 1.7071677600311275e+00
1.9197236345614034e+14 9.1457466815217459e-01 2.3473204056276233e+00
1.9262980305701753e+14 9.1857734884481446e-01 2.9884238347671666e+00
1.9328724265789472e+14 9.2231665005937069e-01 3.6304255370576288e+00
1.9394468225877194e+14 9.2580751833530950e-01 4.2732754535988402e+00
1.9460212185964912e+14 9.2906372950657723e-01 4.9169264286770931e+00
1.9525956146052631e+14 9.3209849163013281e-01 5.5613336553595030e+00
1.9591700106140350e+14 9.3492489393831957e-01 6.2064534379367018e+00
1.9657444066228069e+14 9.3755608154066861e-01 6.8522420504350725e+00
1.9723188026315788e+14 9.4000502179592271e-01 7.4986555201083185e+00
1.9788931986403506e+14 9.4228374389582947e-01 8.1456506900841905e+00
1.9854675946491228e+14 9.4440212923610045e-01 8.7931871343444481e+00
1.9920419906578947e+14 9.4636671083980461e-01 9.4412288764632244e+00
1.9986163866666666e+14 9.4818028100481100e-01 1.0089744831148316e+01
("port 4","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.6879945357321887e-03 3.0777196540722054e+00
1.8802772585087719e+14 8.3955216443029595e-03 3.3629596157754080e+00
1.8868516545175438e+14 7.5358685413908525e-03 3.6945981608834768e+00
1.8934260505263156e+14 6.2927543143686858e-03 4.0788706305831717e+00
1.9000004465350878e+14 4.9206287460425956e-03 4.5330539153713749e+00
1.9065748425438597e+14 3.6968403929205592e-03 5.0804281366990738e+00
1.9131492385526316e+14 2.8238522176928342e-03 5.7168603555714919e+00
1.9197236345614034e+14 2.2632583659129160e-03 6.3607431571974926e+00
1.9262980305701753e+14 1.7283540855911827e-03 6.9077229387586634e+00
1.9328724265789472e+14 9.5902291827233287e-04 7.2714942943720455e+00
1.9394468225877194e+14 3.2720666663021237e-04 5.7370801260311053e+00
1.9460212185964912e+14 1.6220849131744826e-03 5.3575294605527803e+00
1.9525956146052631e+14 3.1466247429776306e-03 5.6258539560831231e+00
1.9591700106140350e+14 4.6269667197210134e-03 5.9267046777526877e+00
1.9657444066228069e+14 5.8715404987608414e-03 6.2288813749055612e+00
1.9723188026315788e+14 6.7149211435001748e-03 6.5283244825502251e+00
1.9788931986403506e+14 7.0314521380650790e-03 6.8258181771514019e+00
1.9854675946491228e+14 6.7451164753295923e-03 7.1239550290192506e+00
1.9920419906578947e+14 5.8361389725471819e-03 7.4274526489937864e+00
1.9986163866666666e+14 4.3466116881661354e-03 7.7474283924569045e+00
